raw_name,pdf_name,include,clean_geography,clean_level,clean_name,clean_description,sort_order,incumbent
"LA PUENTE CITY SPECIAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending December 10, 2024)","LA PUENTE CITY SPECIAL MUNICIPAL ELECTION Member of the City Council (Unexpired term ending December 10, 2024)",No,La Puente,,City Council,"Unexpired term ending December 10, 2024",,NADIA MENDOZA
LAWNDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,LAWNDALE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Lawndale,,City Council,,,"PAT KEARNEY,BERNADETTE LOURDES SUAREZ"
LYNWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,LYNWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Lynwood,,City Council,,,
MALIBU CITY GENERAL MUNICIPAL ELECTION Member of the City Council,MALIBU CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Malibu,,City Council,,,
MANHATTAN BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,MANHATTAN BEACH CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Manhattan Beach,,City Council,,,SUZANNE HADLEY
MAYWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,MAYWOOD CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Maywood,,City Council,,,"EDUARDO ""EDDIE"" DE LA RIVA,HEBER MARQUEZ"
NORWALK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,NORWALK CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Norwalk,,City Council,,,"JENNIFER PEREZ,TONY AYALA"
PALOS VERDES ESTATES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,PALOS VERDES ESTATES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Palos Verdes Estates,,City Council,,,"MICHAEL KEMPS,DAVID MCGOWAN,VICTORIA A. LOZZI"
PICO RIVERA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,PICO RIVERA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Pico Rivera,,City Council,,,"GUSTAVO V. CAMACHO,RAUL ELIAS"
RANCHO PALOS VERDES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,RANCHO PALOS VERDES CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Rancho Palos Verdes,,City Council,,,
ROLLING HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,ROLLING HILLS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Rolling Hills,,City Council,,,"PAT WILSON,LEAH MIRSCH"
SAN FERNANDO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SAN FERNANDO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,San Fernando,,City Council,,,SYLVIA BALLIN
SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SAN GABRIEL CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,San Gabriel,,City Council,,,"JOHN WU,CARINA RIVERA,DENISE MENCHACA"
SAN MARINO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SAN MARINO CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,San Marino,,City Council,,,GRETCHEN SHEPHERD ROMEY
SANTA CLARITA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SANTA CLARITA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Santa Clarita,,City Council,,,"BILL MIRANDA,MARSHA MCLEAN,"
SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SANTA MONICA CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Santa Monica,,City Council,,,LANA NEGRETE
SANTA FE SPRINGS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SANTA FE SPRINGS CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Sante Fe Springs,,City Council,,,"ANNETTE RODRIGUEZ,JOHN MORA,JUANITA MARTIN"
SIERRA MADRE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,SIERRA MADRE CITY GENERAL MUNICIPAL ELECTION Member of the City Council,No,Sierra Madre,,City Council,,,EDWARD GARCIA
